dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,popData2018
15/7/2020,15,7,2020,133,1,Austria,AT,AUT,8858775,Europe,8858775
14/7/2020,14,7,2020,73,1,Austria,AT,AUT,8858775,Europe,8858775
13/7/2020,13,7,2020,51,0,Austria,AT,AUT,8858775,Europe,8858775
12/7/2020,12,7,2020,114,2,Austria,AT,AUT,8858775,Europe,8858775
11/7/2020,11,7,2020,74,0,Austria,AT,AUT,8858775,Europe,8858775
10/7/2020,10,7,2020,94,0,Austria,AT,AUT,8858775,Europe,8858775
9/7/2020,9,7,2020,102,0,Austria,AT,AUT,8858775,Europe,8858775
8/7/2020,8,7,2020,92,0,Austria,AT,AUT,8858775,Europe,8858775
7/7/2020,7,7,2020,56,0,Austria,AT,AUT,8858775,Europe,8858775
6/7/2020,6,7,2020,85,0,Austria,AT,AUT,8858775,Europe,8858775
5/7/2020,5,7,2020,115,1,Austria,AT,AUT,8858775,Europe,8858775
4/7/2020,4,7,2020,115,0,Austria,AT,AUT,8858775,Europe,8858775
3/7/2020,3,7,2020,109,0,Austria,AT,AUT,8858775,Europe,8858775
2/7/2020,2,7,2020,68,0,Austria,AT,AUT,8858775,Europe,8858775
1/7/2020,1,7,2020,107,0,Austria,AT,AUT,8858775,Europe,8858775
30/6/2020,30,6,2020,43,2,Austria,AT,AUT,8858775,Europe,8858775
29/6/2020,29,6,2020,69,1,Austria,AT,AUT,8858775,Europe,8858775
28/6/2020,28,6,2020,74,2,Austria,AT,AUT,8858775,Europe,8858775
27/6/2020,27,6,2020,58,2,Austria,AT,AUT,8858775,Europe,8858775
26/6/2020,26,6,2020,45,0,Austria,AT,AUT,8858775,Europe,8858775
25/6/2020,25,6,2020,28,5,Austria,AT,AUT,8858775,Europe,8858775
24/6/2020,24,6,2020,41,0,Austria,AT,AUT,8858775,Europe,8858775
23/6/2020,23,6,2020,28,3,Austria,AT,AUT,8858775,Europe,8858775
22/6/2020,22,6,2020,39,0,Austria,AT,AUT,8858775,Europe,8858775
21/6/2020,21,6,2020,18,2,Austria,AT,AUT,8858775,Europe,8858775
20/6/2020,20,6,2020,52,0,Austria,AT,AUT,8858775,Europe,8858775
19/6/2020,19,6,2020,48,0,Austria,AT,AUT,8858775,Europe,8858775
18/6/2020,18,6,2020,20,1,Austria,AT,AUT,8858775,Europe,8858775
17/6/2020,17,6,2020,14,6,Austria,AT,AUT,8858775,Europe,8858775
16/6/2020,16,6,2020,54,3,Austria,AT,AUT,8858775,Europe,8858775
15/6/2020,15,6,2020,26,1,Austria,AT,AUT,8858775,Europe,8858775
14/6/2020,14,6,2020,31,0,Austria,AT,AUT,8858775,Europe,8858775
13/6/2020,13,6,2020,14,2,Austria,AT,AUT,8858775,Europe,8858775
12/6/2020,12,6,2020,30,1,Austria,AT,AUT,8858775,Europe,8858775
11/6/2020,11,6,2020,29,1,Austria,AT,AUT,8858775,Europe,8858775
10/6/2020,10,6,2020,26,1,Austria,AT,AUT,8858775,Europe,8858775
9/6/2020,9,6,2020,11,0,Austria,AT,AUT,8858775,Europe,8858775
8/6/2020,8,6,2020,66,0,Austria,AT,AUT,8858775,Europe,8858775
7/6/2020,7,6,2020,4,0,Austria,AT,AUT,8858775,Europe,8858775
6/6/2020,6,6,2020,55,0,Austria,AT,AUT,8858775,Europe,8858775
5/6/2020,5,6,2020,38,2,Austria,AT,AUT,8858775,Europe,8858775
4/6/2020,4,6,2020,34,0,Austria,AT,AUT,8858775,Europe,8858775
3/6/2020,3,6,2020,12,1,Austria,AT,AUT,8858775,Europe,8858775
2/6/2020,2,6,2020,26,1,Austria,AT,AUT,8858775,Europe,8858775
1/6/2020,1,6,2020,2,0,Austria,AT,AUT,8858775,Europe,8858775
31/5/2020,31,5,2020,46,0,Austria,AT,AUT,8858775,Europe,8858775
30/5/2020,30,5,2020,30,0,Austria,AT,AUT,8858775,Europe,8858775
29/5/2020,29,5,2020,27,0,Austria,AT,AUT,8858775,Europe,8858775
28/5/2020,28,5,2020,37,23,Austria,AT,AUT,8858775,Europe,8858775
27/5/2020,27,5,2020,34,2,Austria,AT,AUT,8858775,Europe,8858775
26/5/2020,26,5,2020,18,2,Austria,AT,AUT,8858775,Europe,8858775
25/5/2020,25,5,2020,36,1,Austria,AT,AUT,8858775,Europe,8858775
